#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
2.47218244397e+29,0.0,20907.9787291,28461.8214776,126779.625247,2.67882162705e+19,-2.36560113685e+18,4.915391921e+18
3.83303623847e+29,0.0,20595.7629273,28237.353516,124134.505233,2.66759678497e+19,-2.56973930658e+18,5.50503884818e+18
5.47484547807e+30,0.0,15862.4730864,27676.1654311,120363.153494,2.65479129348e+19,-2.36668185647e+18,6.18832972167e+18
4.25706407926e+29,0.0,18454.0058594,27709.5055725,122301.292744,2.66853360039e+19,-2.51261907658e+18,5.76788742816e+18
3.49943978734e+29,0.0,19848.922052,28425.7061002,124492.058706,2.66798179207e+19,-2.40227719127e+18,5.41344118136e+18
3.80858241674e+29,0.0,21894.7116498,27669.0434517,126966.486401,2.68030552099e+19,-2.66332982381e+18,4.94996636074e+18
2.28939092645e+29,0.0,19566.0375474,27486.3383511,123668.001979,2.67469468639e+19,-2.65840242782e+18,5.53198771784e+18
3.21999911191e+29,0.0,22063.0331689,27161.1980436,126314.541774,2.67511754929e+19,-2.73575349903e+18,5.09201225544e+18
2.40136313854e+29,0.0,18326.1048995,27071.2306242,123174.70503,2.66805329897e+19,-2.67040982136e+18,5.6383575336e+18
2.04626725708e+29,0.0,19553.2801833,27541.2463732,123652.412584,2.66911452106e+19,-2.61397169226e+18,5.59323080366e+18
4.24226111433e+29,0.0,21608.2241759,29601.9933666,124891.330347,2.64779009308e+19,-2.20878171292e+18,5.52626609902e+18
1.63478378976e+30,0.0,17809.5838635,29293.0573255,120930.648403,2.64187063092e+19,-2.10303017067e+18,6.2103192284e+18
3.31201211116e+29,0.0,17618.6272028,27886.1758766,123232.485689,2.66518769832e+19,-2.46145805306e+18,5.61153034081e+18
2.50776978111e+29,0.0,20078.158915,27847.8335571,123630.351469,2.66354041374e+19,-2.59834448757e+18,5.64888725424e+18
2.09014725511e+29,0.0,19674.4122366,28754.4156407,122998.048298,2.65956401455e+19,-2.35933986286e+18,5.73943608287e+18
8.3151495892e+29,0.0,19368.4474787,27977.8306463,122982.895213,2.66585541405e+19,-2.54194099188e+18,5.71474433882e+18
8.18426274595e+29,0.0,17830.8305769,27938.7140071,123072.799252,2.66447611171e+19,-2.4279193575e+18,5.66282621163e+18
3.03044992764e+29,0.0,17581.4722478,29241.7434749,121447.525594,2.64848350543e+19,-2.13146049642e+18,6.04565033503e+18
6.7531383e+29,0.0,22147.8089637,27658.2590362,126240.487139,2.6754897495e+19,-2.6442938507e+18,5.08583971555e+18
4.31884665676e+29,0.0,18792.5947986,28200.6601859,122718.784793,2.67170730157e+19,-2.46453061237e+18,5.68114836653e+18
7.14382921149e+29,0.0,17919.009843,27667.5347748,123373.951419,2.6678512255e+19,-2.56890091412e+18,5.58326012282e+18
3.74518708903e+29,0.0,18302.2600948,28350.0989553,123145.565262,2.65800370343e+19,-2.45812152246e+18,5.69280567331e+18
5.2620274382e+29,0.0,21071.5872213,27938.36223,126089.101781,2.6792455021e+19,-2.57211295528e+18,5.10904216135e+18
5.69231155109e+29,0.0,20662.1823816,28151.6619384,125836.853129,2.67251684444e+19,-2.49276874932e+18,5.20869968803e+18
2.86359287502e+29,0.0,17769.6884947,27981.023038,121851.235935,2.65999438937e+19,-2.47790488432e+18,5.89831480912e+18
5.86066093377e+29,0.0,17346.1298635,27730.7390654,123313.883108,2.66452565206e+19,-2.40735801109e+18,5.59045000027e+18
3.35891945226e+30,0.0,18011.5534665,28659.2338951,123599.916089,2.66095921612e+19,-2.19323816297e+18,5.58187197778e+18
4.73721096301e+29,0.0,19663.3070846,27513.321824,125406.705472,2.67839303891e+19,-2.65888876341e+18,5.16427431474e+18
3.07840769332e+29,0.0,22204.0740771,28509.277038,127149.874552,2.67526878338e+19,-2.45299170872e+18,4.87693664727e+18
3.9071234884e+29,0.0,19216.8759783,27885.9980471,123493.658623,2.66296379852e+19,-2.52496567966e+18,5.66128134717e+18
