#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,kpc,kpc,kpc,kms,kms,kms
0.649103563705,-0.214769088661,-0.131778256587,-0.305488818269,140.37920965,-31.6264154164,-118.443986721
0.108486393398,-0.212172355655,-0.137789118745,-0.30984318586,140.412244347,-30.2482677022,-116.314242871
0.100733379279,-0.239867830077,-0.132795181174,-0.291032943158,137.985397891,-32.2315978066,-124.474701042
0.133951097887,-0.218012658636,-0.136066283297,-0.305509518899,139.96000122,-30.9301361767,-118.583694519
0.25752636915,-0.230173636834,-0.138432575942,-0.305588722608,139.173706462,-30.6662626628,-117.899535249
0.106394975224,-0.214797704684,-0.134930883446,-0.302762483886,140.176570999,-31.4987769783,-119.879240646
0.278282932317,-0.222527180733,-0.140276073039,-0.308136676259,139.69889404,-30.2430089185,-116.782135353
0.146353430016,-0.223168938946,-0.135714293101,-0.297741873655,139.468659541,-31.2256274661,-121.941026123
0.111091404364,-0.21960539612,-0.134941685068,-0.305082583865,139.908728016,-31.1960709138,-118.574044817
0.186974670049,-0.215978736051,-0.130589251173,-0.307762631984,140.302600154,-31.7557631983,-117.41986544
0.103287681567,-0.224522141006,-0.143271602221,-0.304310341077,139.390461126,-29.9725031325,-118.475584797
0.215645195273,-0.226375390974,-0.129345052033,-0.297337402467,139.203413961,-32.3620602742,-122.414461169
0.133903376048,-0.20875015729,-0.140001480193,-0.303975624791,140.676847478,-30.7262277148,-118.893571452
0.117607314145,-0.207872082285,-0.132933793674,-0.304474916623,140.460979248,-31.5408017985,-119.530940825
0.279287647156,-0.203610852626,-0.134801695197,-0.309812699735,141.272921726,-30.7198413902,-116.560223573
0.125686555419,-0.23519308607,-0.140908018854,-0.294270078359,138.300159631,-31.1921130779,-122.849335993
0.104306551423,-0.231916536071,-0.139351715109,-0.301691300043,138.85613192,-30.9995093012,-119.612758219
0.183103237199,-0.224384364702,-0.139554715794,-0.30241329658,139.506687377,-30.8333522439,-119.381150925
0.445211685459,-0.216655958951,-0.134471715081,-0.303661506094,140.132214297,-31.4691074616,-119.525352641
0.17341990939,-0.229025848946,-0.135539973556,-0.30121409852,139.144560642,-31.6931102626,-120.163436958
