#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
2.81594367939e+29,0.0,-145375.616472,3036.18600384,-143307.718147,6.49269431993e+18,5.27146340125e+18,6.32129781864e+18
1.06464363306e+30,0.0,-150373.466325,-4889.17540785,-151296.873729,5.00577254434e+18,5.48134668303e+18,4.74016115403e+18
2.26082071542e+29,0.0,-147375.947653,-1122.36490992,-146972.565438,5.81552385631e+18,5.4961633206e+18,5.60282193185e+18
3.2059278054e+29,0.0,-147039.780572,1350.59058139,-144894.863367,6.06775561719e+18,5.32964644745e+18,6.00887643658e+18
2.85789772323e+29,0.0,-149606.998911,-1269.98620752,-148429.810003,5.31379444529e+18,5.26828745823e+18,5.42735287195e+18
9.60920610449e+29,0.0,-147460.189846,-1570.71375693,-147479.835897,5.82375788886e+18,5.53189036853e+18,5.46676214523e+18
6.47919190253e+29,0.0,-148117.478671,-290.843072822,-147013.549422,5.68421159221e+18,5.29549003274e+18,5.71463172808e+18
5.92079996371e+29,0.0,-149953.456579,-2004.7239878,-149938.272263,5.33951508991e+18,5.32057371885e+18,5.04008991935e+18
2.99491950941e+29,0.0,-149474.432391,-4914.92270928,-150548.11415,5.12288495557e+18,5.58987458376e+18,4.89279128778e+18
4.91033902216e+29,0.0,-145253.588987,-194.603489639,-144655.23871,6.26647828365e+18,5.66243966816e+18,5.98974861505e+18
2.27439495339e+29,0.0,-148610.983996,-1438.61471733,-147936.355098,5.47425895737e+18,5.38067937966e+18,5.510127557e+18
2.97288419115e+29,0.0,-148280.930994,1436.32318871,-146356.758008,5.78777690018e+18,5.17539761554e+18,5.82418699278e+18
3.71000493211e+29,0.0,-150053.730674,-1632.03364157,-149362.087389,5.24842013738e+18,5.28510239355e+18,5.22413519368e+18
2.12637176215e+29,0.0,-149524.348068,-2653.7076289,-150219.444274,5.2952332846e+18,5.34915863734e+18,5.05093015424e+18
1.42696302273e+31,0.0,-146663.990632,2120.47362139,-143785.004096,6.15566658481e+18,5.30815669697e+18,6.21985711581e+18
6.94028913799e+29,0.0,-148640.804693,-1360.26756538,-147945.812794,5.63992062954e+18,5.44213403803e+18,5.34947771883e+18
2.14309568179e+29,0.0,-147085.561847,-2042.90266824,-147262.255182,5.82652293824e+18,5.62787247778e+18,5.49212775449e+18
6.51356259177e+29,0.0,-151388.50511,-2155.21261494,-151376.77678,5.038862572e+18,5.13739392676e+18,4.85240205469e+18
8.52822473827e+29,0.0,-145581.093614,4152.84168688,-142164.742394,6.50225721234e+18,5.14798506502e+18,6.55372084231e+18
5.55732926893e+29,0.0,-144571.152532,4058.33117582,-140410.566736,6.74037325061e+18,5.29539658184e+18,6.77829071682e+18
2.57871500637e+29,0.0,-149375.72479,-1561.64596347,-148757.066956,5.44958914453e+18,5.31210327297e+18,5.29700150249e+18
4.25417284577e+29,0.0,-147686.402855,550.877412272,-146928.109462,5.8996839763e+18,5.30973771693e+18,5.65646875716e+18
