#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
8.85490425443e+29 0.0 61771.1559308 104620.958957 115999.224766 2.14863952216e+17 -1.26833299807e+19 -1.06171306173e+19
3.44918326183e+29 0.0 62320.720747 106876.322273 117975.800181 2.69865396688e+17 -1.23116502297e+19 -1.0331714614e+19
2.27238127176e+29 0.0 56401.2915439 118489.714534 140216.639698 1.85320833677e+18 -1.01488008062e+19 -7.385948208e+18
7.32645720273e+29 0.0 63385.6586407 105482.81049 109734.1655 -5.40611987287e+16 -1.27026904935e+19 -1.11725688499e+19
9.45401300985e+29 0.0 62751.9708826 107415.907558 110489.701576 2.12906688311e+17 -1.24258980199e+19 -1.10041260283e+19
9.70840011027e+29 0.0 61127.5669706 105077.829104 116863.60289 3.98463079189e+17 -1.25830115093e+19 -1.04992905329e+19
2.46283475665e+29 0.0 59400.0968848 113292.241806 126482.60846 1.10763054849e+18 -1.1227146262e+19 -9.23415523621e+18
2.35413328834e+29 0.0 65967.5903947 104414.774863 111129.10667 -3.9536122415e+17 -1.25290586366e+19 -1.09914869499e+19
4.23239992573e+29 0.0 8872.80553278 162036.520378 154762.562651 4.81031490087e+18 -1.17533494097e+17 3.09576039599e+18
3.39395846076e+29 0.0 60818.1637306 110241.552126 115577.713665 6.39523967885e+17 -1.20181372084e+19 -1.04711665583e+19
3.31321084181e+29 0.0 59623.395442 110353.999438 123561.872124 8.74335221908e+17 -1.17297461531e+19 -9.66053084991e+18
2.70378146787e+29 0.0 62864.0963498 108392.838479 113691.596013 2.16648873693e+17 -1.22047577776e+19 -1.07045645803e+19
8.20076210826e+29 0.0 62877.3969147 106300.398444 112478.444936 5.88892593794e+16 -1.24906609545e+19 -1.09021055935e+19
7.54656528679e+29 0.0 61923.5567861 109849.54005 119277.499999 5.20864765985e+17 -1.18577371189e+19 -1.00984606372e+19
2.10851544799e+29 0.0 62226.3774066 104727.818813 114399.359417 1.34257390575e+17 -1.26755433496e+19 -1.07553492025e+19
3.65724098812e+29 0.0 62836.3876803 104340.247442 111381.018882 -1.344828782e+16 -1.28454222569e+19 -1.10570180905e+19
4.30154280586e+29 0.0 62779.82474 106425.015286 111102.604567 1.46936761466e+17 -1.2525250846e+19 -1.0995960242e+19
2.8603178016e+29 0.0 43481.0846276 142927.846597 160763.18656 3.64938567098e+18 -6.1228065914e+18 -3.22719386862e+18
8.45456046313e+29 0.0 62239.3619844 109249.407298 119779.110485 4.32995527373e+17 -1.19245824552e+19 -1.00593187754e+19
2.64920651755e+29 0.0 56329.5157829 118788.037159 139401.650209 1.87862684953e+18 -1.01359961847e+19 -7.48162823659e+18
1.03562236239e+30 0.0 56371.7418998 113799.125711 137577.872845 1.62184544823e+18 -1.09235458271e+19 -7.89694301429e+18
1.51934904216e+30 0.0 64956.955543 107472.998672 106378.898578 -2.22186307515e+17 -1.24854749249e+19 -1.1329166662e+19
5.29268145703e+29 0.0 62517.3952758 107195.194009 111755.183438 2.26464111324e+17 -1.23997295279e+19 -1.09122605886e+19
3.0375953788e+29 0.0 60289.5015363 107997.582536 117116.201216 6.27956458068e+17 -1.22800306221e+19 -1.04044935138e+19
2.04007063092e+29 0.0 63192.4904036 107892.462391 112428.214571 2.55164067278e+17 -1.22103529864e+19 -1.07720055343e+19
6.09225024804e+29 0.0 65434.2954413 107511.894454 106736.341832 -2.26780155359e+17 -1.24110671651e+19 -1.12710878815e+19
3.13013420116e+29 0.0 57868.0915335 110795.099702 129222.620357 1.22823107933e+18 -1.15896905868e+19 -9.00871482672e+18
5.24497918538e+29 0.0 61533.0174706 106638.094879 113639.114973 3.08627028952e+17 -1.24895410696e+19 -1.07966644626e+19
3.21142776706e+29 0.0 40673.1982077 146273.205566 162149.21131 3.86527770192e+18 -5.55744033354e+18 -2.75482584542e+18
2.3445835246e+29 0.0 57297.3974708 114367.246248 127680.028108 1.46301184852e+18 -1.11365973415e+19 -9.08220795698e+18
3.63127820701e+29 0.0 62261.5400168 110527.397264 120373.736398 5.01147258967e+17 -1.17208673987e+19 -9.95089537086e+18
2.79860332722e+29 0.0 62071.8993801 110718.003377 118768.458811 5.15521419492e+17 -1.17591964193e+19 -1.01163171566e+19
2.37557378105e+29 0.0 57850.82786 116700.772399 135986.927431 1.56242063583e+18 -1.04988926822e+19 -7.98276441804e+18
5.26578760296e+29 0.0 57627.2657614 119737.312166 138269.267973 1.78219549462e+18 -9.98453940312e+18 -7.5785106648e+18
4.30455207441e+29 0.0 58490.6981946 110583.020317 120056.870204 1.2592790305e+18 -1.17728383055e+19 -9.92991002688e+18
2.05929431444e+29 0.0 63327.325874 107834.02992 111365.561712 8.53279596434e+16 -1.23441633174e+19 -1.09407341843e+19
5.86913151917e+29 0.0 59481.4676612 112962.852634 126297.45672 1.10429990331e+18 -1.12794344046e+19 -9.26214302945e+18
2.47218244397e+29 0.0 61818.2330085 108563.408975 115489.527221 4.1722090005e+17 -1.21795801782e+19 -1.05288086122e+19
3.83303623847e+29 0.0 57630.5958737 119114.077548 138682.499245 1.72142933375e+18 -1.00638983016e+19 -7.55586748628e+18
5.47484547807e+30 0.0 65872.5219907 104080.868675 111826.466749 -4.14461992058e+17 -1.25372532372e+19 -1.09514946794e+19
4.25706407926e+29 0.0 60989.1421112 109244.406066 118294.358398 5.96180450819e+17 -1.20192339203e+19 -1.02482053924e+19
3.49943978734e+29 0.0 61521.2814965 110209.395214 115484.14865 5.01050097857e+17 -1.19880091732e+19 -1.04800295071e+19
3.80858241674e+29 0.0 58078.5265298 117411.264786 129912.940879 1.51097018299e+18 -1.05925117744e+19 -8.70287672141e+18
2.28939092645e+29 0.0 58559.115529 109349.441232 119657.266743 9.68903984392e+17 -1.20837725329e+19 -1.0121203663e+19
3.21999911191e+29 0.0 64209.2308612 108088.641032 110507.072501 8.92973786741e+16 -1.22305965087e+19 -1.09033499305e+19
2.40136313854e+29 0.0 56864.871286 116253.076171 135985.96009 1.66589313956e+18 -1.06065890024e+19 -8.00856485284e+18
2.04626725708e+29 0.0 60056.6399059 106031.557255 117443.791356 5.84570459699e+17 -1.25370089463e+19 -1.04369276565e+19
4.24226111433e+29 0.0 62245.9334163 109590.289444 113808.188401 3.54698330401e+17 -1.21198513763e+19 -1.06435985418e+19
1.63478378976e+30 0.0 61382.3315671 111881.106603 118400.916899 6.53620906632e+17 -1.16722318133e+19 -1.01144307464e+19
3.31201211116e+29 0.0 63746.8288524 106821.837317 107954.541829 -8.61712994429e+16 -1.25689482931e+19 -1.12736426702e+19
2.50776978111e+29 0.0 64092.2244603 102871.034222 111810.887979 -3.10597478493e+17 -1.28951592587e+19 -1.10631579695e+19
2.09014725511e+29 0.0 60960.6348947 109638.46695 117095.215355 8.10381517867e+17 -1.19055358685e+19 -1.02387726723e+19
8.3151495892e+29 0.0 62673.7573603 104918.353599 112210.679816 8.15657342263e+15 -1.27318478836e+19 -1.09448814408e+19
8.18426274595e+29 0.0 62560.6896968 112003.453714 121782.894091 5.50423025278e+17 -1.14321937386e+19 -9.75181480579e+18
3.03044992764e+29 0.0 57992.3335 120187.950203 138458.36332 1.74649835835e+18 -9.88906091005e+18 -7.54627627405e+18
6.7531383e+29 0.0 62737.344147 106801.913343 111847.668241 2.0243141044e+17 -1.24470323384e+19 -1.08937033207e+19
4.31884665676e+29 0.0 59054.1260132 115505.598242 131999.903012 1.32981368069e+18 -1.07384525558e+19 -8.51601683632e+18
7.14382921149e+29 0.0 57749.5914612 112711.807435 126946.982217 1.30647176337e+18 -1.13903708508e+19 -9.21769962877e+18
3.74518708903e+29 0.0 53151.1487735 123194.742001 145310.818134 2.41647578468e+18 -9.41442692098e+18 -6.53100802574e+18
5.2620274382e+29 0.0 45675.9471942 140930.414952 159776.992284 3.48794625036e+18 -6.45754273966e+18 -3.48444597961e+18
5.69231155109e+29 0.0 62105.0046419 108605.146407 114191.444491 3.0233198186e+17 -1.22244269322e+19 -1.06609469771e+19
2.86359287502e+29 0.0 62920.5739248 105940.529722 111321.381537 9.18342404453e+16 -1.2568711505e+19 -1.10013461508e+19
5.86066093377e+29 0.0 57683.7100579 126080.036674 140291.834438 2.02541906247e+18 -8.96477344063e+18 -7.10856974023e+18
3.35891945226e+30 0.0 58322.9892287 113242.984836 131700.665582 1.28823916961e+18 -1.11229944923e+19 -8.63562346924e+18
4.73721096301e+29 0.0 62601.2755505 108724.514699 115918.948892 3.00038433039e+17 -1.20984230389e+19 -1.04764881561e+19
3.07840769332e+29 0.0 62593.5745924 105499.5719 114797.099759 2.3508851773e+17 -1.24942823148e+19 -1.06418957718e+19
3.9071234884e+29 0.0 56993.766347 119270.045139 136787.069108 1.8178490374e+18 -1.01337350116e+19 -7.79286315405e+18
2.54210359038e+29 0.0 57942.1685497 108782.053044 123583.443208 1.06571032509e+18 -1.20490016837e+19 -9.73485215104e+18
2.09351489379e+29 0.0 62532.1596072 107930.704555 111307.133515 2.91133213527e+17 -1.23179822973e+19 -1.09025180971e+19
1.75555572558e+30 0.0 58559.4396203 122094.457202 139966.784213 1.74134173803e+18 -9.51329927555e+18 -7.30360492859e+18
2.41434528495e+29 0.0 60762.2109715 113396.992537 131054.377434 9.92924688698e+17 -1.09789697799e+19 -8.6897689982e+18
4.75197776976e+29 0.0 65172.3219525 106106.113476 106231.252891 -4.05910744304e+17 -1.268223101e+19 -1.1430299063e+19
2.99971073214e+29 0.0 66127.9555177 104707.253678 104978.047888 -6.36638683252e+17 -1.2832191362e+19 -1.1567751599e+19
2.20094255565e+29 0.0 62888.3705873 108417.840647 110539.187068 1.57317725404e+17 -1.23530009713e+19 -1.09946012732e+19
3.50050642071e+29 0.0 63169.3789774 105478.109303 111860.218435 6.70956191932e+16 -1.25712833914e+19 -1.09581553966e+19
9.88922122304e+29 0.0 52087.832653 130801.150906 150854.464118 2.81187581463e+18 -8.11693279147e+18 -5.43790728931e+18
2.12105368093e+29 0.0 62104.6171729 109259.769418 115474.63477 3.5679765819e+17 -1.20866570015e+19 -1.05078525751e+19
1.50275297432e+30 0.0 65879.8340701 105612.14365 106111.167131 -5.89442955331e+17 -1.27509157153e+19 -1.14482408758e+19
3.37368227929e+30 0.0 58792.2523422 108184.122441 119443.541101 8.79844767623e+17 -1.22460225141e+19 -1.0179271817e+19
3.66830568601e+29 0.0 63040.1582363 110766.672444 114288.494537 2.7717299143e+17 -1.18896602237e+19 -1.05475261171e+19
2.73238929007e+29 0.0 63528.3721737 113376.977325 117098.686834 7.39675353501e+17 -1.12054240845e+19 -9.97986480792e+18
2.32736390583e+29 0.0 54496.2502571 124013.657761 144936.562791 2.30689660607e+18 -9.26088954063e+18 -6.54717604466e+18
3.84421363788e+29 0.0 47046.5562993 142758.095697 159278.578196 3.41422599706e+18 -6.1101371583e+18 -3.64154235828e+18
1.3007687188e+31 0.0 58407.3022667 114016.137106 130977.060359 1.33060832413e+18 -1.10401163717e+19 -8.68417136518e+18
4.43729350824e+29 0.0 62019.0328666 107496.861644 113319.48354 3.16624581013e+17 -1.23740092634e+19 -1.07764043067e+19
2.04565845223e+29 0.0 55821.5011163 119128.21058 138436.442337 1.9334841474e+18 -1.01463709133e+19 -7.60185023652e+18
5.26791507277e+29 0.0 62879.0919082 112294.373916 116836.082327 4.3447136449e+17 -1.15948337129e+19 -1.02347190915e+19
4.30084305097e+29 0.0 59914.590533 126663.150055 141360.14017 1.83504340286e+18 -8.74099262088e+18 -6.9361961055e+18
7.86732037312e+30 0.0 63072.8200444 104461.273705 111573.538861 -1.7314739408e+16 -1.27839594932e+19 -1.10431498129e+19
3.31618018875e+29 0.0 49034.0286518 133168.756795 155172.250389 3.12216333365e+18 -7.73416587239e+18 -4.60189029207e+18
2.77465218753e+29 0.0 62909.0994244 112328.26433 118287.709568 4.66159829343e+17 -1.15236035428e+19 -1.00867911962e+19
2.54467861618e+29 0.0 50250.5285164 137817.607892 155632.678162 3.11079156456e+18 -6.92562626942e+18 -4.47144416825e+18
3.18718534696e+29 0.0 61258.33826 106631.851333 114506.295093 4.1761969025e+17 -1.24402487694e+19 -1.06923941504e+19
2.2796064909e+29 0.0 61345.4838351 109803.637455 117620.820664 7.90225130691e+17 -1.18093706177e+19 -1.01725358109e+19
7.48635433069e+29 0.0 62851.7775321 109215.512494 112025.244982 2.08171365497e+17 -1.22087489636e+19 -1.08212532275e+19
2.7036166617e+29 0.0 63118.0578226 105976.482349 112732.220593 1.55887920129e+17 -1.24675419923e+19 -1.08348423482e+19
2.08843944358e+29 0.0 61458.0608053 108821.327976 115705.402325 4.84484147784e+17 -1.21514333573e+19 -1.05045828863e+19
2.70797041173e+29 0.0 60541.854881 111086.006943 116434.041782 9.39831287155e+17 -1.17541366149e+19 -1.02481681093e+19
4.04087593132e+29 0.0 63088.0790033 107909.283547 109196.563927 1.6082162119e+17 -1.24249777632e+19 -1.10959388486e+19
4.75078782428e+29 0.0 66837.9851947 106707.517336 106331.011657 -4.64845013589e+17 -1.24348576873e+19 -1.12888478042e+19
5.99770514148e+29 0.0 56070.7895262 117016.324116 134438.909079 1.80830104169e+18 -1.05733012064e+19 -8.18384309647e+18
3.19774171808e+29 0.0 62132.0697072 109808.292639 119622.231575 4.78957877984e+17 -1.18400630244e+19 -1.00669085581e+19
2.60565662597e+29 0.0 62572.6255551 105561.060943 114602.068338 2.35785102677e+17 -1.25054553239e+19 -1.06547307033e+19
9.33699718189e+29 0.0 59676.5862177 110929.909146 129178.007668 9.8117496136e+17 -1.14558877777e+19 -9.00896596545e+18
2.01790593662e+29 0.0 64439.3178646 103846.995987 110128.953874 -3.53105094042e+17 -1.2828204081e+19 -1.12031925588e+19
3.82279242699e+29 0.0 60828.3078193 109050.403076 123329.692365 7.09976962665e+17 -1.1854821137e+19 -9.7051813887e+18
2.02205772051e+29 0.0 55240.5552787 130326.474137 147785.764917 2.49005698029e+18 -8.15476989204e+18 -5.95055687529e+18
2.59795477943e+29 0.0 62642.4713613 107723.179726 111233.977201 2.91081834097e+17 -1.23738270953e+19 -1.08985092551e+19
3.90193816078e+29 0.0 55453.9645442 112600.045439 131990.426606 1.68894145813e+18 -1.1338853068e+19 -8.63444782929e+18
2.18228421803e+29 0.0 36102.1437011 150800.60754 164532.979264 4.07039137947e+18 -4.80871661454e+18 -1.54465361807e+18
3.43552474253e+29 0.0 59402.8803367 108703.560107 125896.308215 8.60533597764e+17 -1.19093405313e+19 -9.45973279545e+18
2.97495975611e+29 0.0 66585.4266739 105461.769238 102864.885543 -7.79908577476e+17 -1.28684178555e+19 -1.17115926608e+19
4.33056559553e+29 0.0 57245.008126 116667.921779 134783.326118 1.63459811843e+18 -1.0574721628e+19 -8.13767023437e+18
2.3337362453e+29 0.0 59282.3830046 105512.125272 121443.680419 6.90716855859e+17 -1.25037509486e+19 -1.0060505899e+19
2.57852934403e+29 0.0 58598.9385817 107757.164394 119370.253463 9.13000188352e+17 -1.22866204002e+19 -1.0198255437e+19
2.20013265797e+29 0.0 52077.5666709 120006.424488 141495.117388 2.4741647268e+18 -1.00649875268e+19 -7.15372814083e+18
6.07888706387e+29 0.0 54295.5066879 122996.531206 146447.400435 2.30287035988e+18 -9.36266404087e+18 -6.36388251066e+18
2.08448309089e+29 0.0 61507.0530016 109993.594551 115242.217691 4.90916636718e+17 -1.20076578195e+19 -1.05206241279e+19
2.7751570265e+29 0.0 58159.705569 112322.522442 130865.910962 1.29133537978e+18 -1.12946349816e+19 -8.75752796845e+18
2.62521205124e+29 0.0 60882.8032835 107259.399337 114972.335378 5.27600306157e+17 -1.23638436439e+19 -1.0619304461e+19
5.59496775708e+29 0.0 53581.7432176 117869.363507 139184.489872 2.19030791097e+18 -1.03887108766e+19 -7.55340377154e+18
