#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,kpc,kpc,kpc,kms,kms,kms
0.649103563705,-0.226967176615,-0.141691919114,-0.30827819719,139.432918193,-30.0280834314,-116.244560709
0.108486393398,-0.224828164059,-0.138574264663,-0.300508141106,139.315472761,-30.3822401386,-120.607137479
0.100733379279,-0.217252840273,-0.13135630582,-0.310650736417,140.224325825,-31.1494399983,-115.82859768
0.133951097887,-0.232429252606,-0.138341449222,-0.307924947913,139.099146902,-30.9648253953,-116.171589738
0.25752636915,-0.208641809525,-0.136888666108,-0.308754055129,140.910759565,-30.9730468207,-116.171940698
0.106394975224,-0.209932743126,-0.134070631001,-0.31368836101,140.719836678,-30.7630343598,-114.381465085
0.278282932317,-0.207333598723,-0.134099216046,-0.310192541458,140.753291434,-30.8051400177,-116.25428224
0.146353430016,-0.216021293824,-0.137851991753,-0.305101847758,140.010814149,-30.2822918308,-118.263549987
0.111091404364,-0.224188969459,-0.138870022989,-0.301942264744,139.54204477,-30.746035881,-119.590607021
0.186974670049,-0.207265680141,-0.128383420146,-0.303451169578,140.683158385,-32.2889182808,-119.679554502
0.103287681567,-0.213779146164,-0.13395831804,-0.3055320648,140.303810333,-31.2809651862,-118.388112287
0.215645195273,-0.225539244682,-0.136019752105,-0.303019958097,139.450424325,-31.503199357,-119.132222928
0.133903376048,-0.224275986509,-0.137254729377,-0.306877599404,139.791129134,-30.8635862286,-116.748561656
0.117607314145,-0.23369068021,-0.137914080446,-0.299811881343,138.85960203,-30.6111714363,-120.464231178
0.279287647156,-0.195731901421,-0.132383563917,-0.311339492251,141.617172153,-30.7742325838,-116.117049601
0.125686555419,-0.210073651309,-0.139001761991,-0.314508044902,140.795594885,-30.1456333595,-113.72406705
0.104306551423,-0.216743651118,-0.1354951311,-0.307196613022,140.190031166,-31.0726263596,-117.153118435
0.183103237199,-0.213888021507,-0.140003945932,-0.305029473557,140.203341714,-30.4036970716,-118.091618807
0.445211685459,-0.239764778455,-0.13275137203,-0.293922271198,138.049548462,-31.9984375172,-123.466310698
0.17341990939,-0.199755747766,-0.130836044145,-0.305287717938,141.264772982,-31.4518108128,-118.928822558
0.114252019778,-0.205692117344,-0.132324099582,-0.302874600163,140.829899361,-31.6557081988,-120.030828343
0.36836359445,-0.20175616252,-0.130921562959,-0.30669024592,141.155804279,-31.6271791082,-118.198726979
0.475334000857,-0.21383621432,-0.138087884111,-0.313596767669,140.445125982,-30.13552255,-114.347110648
0.488124213657,-0.210432948053,-0.13926596786,-0.307367180924,140.539212952,-30.2831659498,-117.23773147
0.123827743532,-0.19567082626,-0.134529156827,-0.314754181164,141.919359415,-30.808835055,-113.882041507
0.118362392069,-0.213834737434,-0.124992503062,-0.300165077337,140.30918569,-33.0729868714,-120.914329596
0.212798902205,-0.204222186311,-0.133853315129,-0.309844018561,140.976874977,-30.7328849656,-116.564026732
