#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
1.98892e+30 0.0 -39037.9693026 -24554.7879843 37111.3012902 -1.92293647385e+19 8.22669412953e+18 1.84258791625e+19
1.98892e+30 0.0 71692.7693959 43590.3206177 -8891.15477684 -5.61592027934e+17 -2.11326870782e+18 -4.10817855485e+17
1.98892e+30 0.0 56863.0170827 90840.4801742 52194.3817238 2.59636929756e+19 -2.01436548095e+18 8.93246204437e+18
1.98892e+30 0.0 137368.925304 52590.3795845 -10926.1526147 3.51237187473e+19 -2.82205824072e+19 -1.46466806316e+18
