#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
1.98892e+30 0.0 61694.7617923 108312.599762 118101.038404 4.10848383987e+17 -1.21376001737e+19 -1.0287493619e+19
1.98892e+30 0.0 -66149.4244911 -69317.922316 -73046.6368295 -1.53046777482e+19 -1.41174674926e+19 9.16981271134e+18
1.98892e+30 0.0 -120118.888213 -7597.07606932 67894.3194433 -8.53617639541e+18 2.00488639677e+19 9.10672800116e+18
1.98892e+30 0.0 21003.1286866 -178707.389335 7077.55857512 -2.95643220674e+19 -2.09701121438e+19 -1.58835757182e+18
