#mass,radius,vx,vy,vz,x,y,z
#system.get('S.I.').base('mass'),system.get('S.I.').base('length'),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),(system.get('S.I.').base('length') * (system.get('S.I.').base('time')**-1)),system.get('S.I.').base('length'),system.get('S.I.').base('length'),system.get('S.I.').base('length')
#kg,m,m * s**-1,m * s**-1,m * s**-1,m,m,m
5.86913151917e+29,0.0,-135663.57105,75353.5148523,124297.935074,7.2711830125e+17,5.42932203834e+18,-8.46620703016e+18
2.47218244397e+29,0.0,-134739.82904,75112.8580316,123598.91219,6.56489090804e+17,5.62876202979e+18,-8.71564624161e+18
3.83303623847e+29,0.0,-135469.43468,75619.3345134,124011.438666,7.39722220296e+17,5.55712427872e+18,-8.56409710233e+18
5.47484547807e+30,0.0,-135305.489714,75140.0692867,124357.404432,6.15560813028e+17,5.38552420791e+18,-8.38212642296e+18
4.25706407926e+29,0.0,-135605.371782,75147.7191239,124248.236877,6.53572395294e+17,5.52274573496e+18,-8.47776149142e+18
3.49943978734e+29,0.0,-134310.995459,75316.8518351,124059.242492,6.05207188302e+17,5.58855222438e+18,-8.58882194749e+18
3.80858241674e+29,0.0,-134435.24314,75401.2592106,123864.404739,5.94922159737e+17,5.55128689407e+18,-8.62267184518e+18
2.28939092645e+29,0.0,-135574.268148,75783.1117156,123914.104958,6.48272899603e+17,5.4487332378e+18,-8.5334559678e+18
3.21999911191e+29,0.0,-135559.04216,75850.7674008,124142.814472,7.6116181725e+17,5.38455859278e+18,-8.65304322053e+18
2.40136313854e+29,0.0,-135132.394551,75726.9056027,124350.452111,6.31612416347e+17,5.35901471414e+18,-8.52700114328e+18
2.04626725708e+29,0.0,-135390.63561,75562.0551809,124292.529885,6.82956100321e+17,5.4328732838e+18,-8.53213832093e+18
4.24226111433e+29,0.0,-135972.293961,74708.6929499,123332.684231,8.77811292947e+17,5.64422940191e+18,-8.53275990635e+18
1.63478378976e+30,0.0,-135954.466953,74561.2596568,123665.988518,7.73262258779e+17,5.56153593724e+18,-8.37537070927e+18
3.31201211116e+29,0.0,-134450.126627,75186.5124226,124297.50398,5.36177163669e+17,5.54141637898e+18,-8.55053071155e+18
2.50776978111e+29,0.0,-135562.294048,75862.8495765,124212.16869,7.50957511832e+17,5.43175904093e+18,-8.50977612104e+18
2.09014725511e+29,0.0,-135600.267326,75151.3940106,123534.267065,7.46462053019e+17,5.59271462594e+18,-8.49657355303e+18
8.3151495892e+29,0.0,-135555.250799,75701.5174809,123998.888192,7.00168015623e+17,5.45335307198e+18,-8.48865702277e+18
8.18426274595e+29,0.0,-134774.47425,75147.445126,124426.326788,5.76808736685e+17,5.5372329782e+18,-8.5238181542e+18
3.03044992764e+29,0.0,-135307.599216,74625.8988886,123789.725436,6.86604385632e+17,5.64249943663e+18,-8.41483395706e+18
6.7531383e+29,0.0,-135602.975548,75472.031416,123723.494516,7.50679869016e+17,5.50427803474e+18,-8.64144873596e+18
4.31884665676e+29,0.0,-135641.69392,75295.3843753,123522.777565,6.40710106344e+17,5.54145031902e+18,-8.50374863613e+18
7.14382921149e+29,0.0,-134720.878893,75212.1863938,124256.546956,4.81428538998e+17,5.51613892209e+18,-8.5450284844e+18
3.74518708903e+29,0.0,-134797.712112,75540.6490488,124503.396815,6.17553418717e+17,5.53745318916e+18,-8.49199641337e+18
5.2620274382e+29,0.0,-134712.995335,75074.1777059,123947.089548,6.18648961054e+17,5.61542025318e+18,-8.64839874863e+18
5.69231155109e+29,0.0,-135302.685491,75551.4864091,123776.462308,6.72802841122e+17,5.58083698343e+18,-8.63061591654e+18
2.86359287502e+29,0.0,-135167.007244,75314.9020113,124172.275899,5.97059112299e+17,5.5151529876e+18,-8.45282820945e+18
5.86066093377e+29,0.0,-134419.528124,74873.26844,124217.980434,5.56359460381e+17,5.5362810897e+18,-8.55575573877e+18
3.35891945226e+30,0.0,-134787.51103,74405.326445,123688.104381,6.35578773765e+17,5.69520432945e+18,-8.54605040361e+18
4.73721096301e+29,0.0,-134789.370564,75648.3634111,124345.714029,5.58419498158e+17,5.51288447723e+18,-8.66433727139e+18
3.07840769332e+29,0.0,-135074.691404,75185.5111431,123627.133264,7.00038506495e+17,5.64438535027e+18,-8.70244190229e+18
3.9071234884e+29,0.0,-135073.156697,75458.8808641,124301.681036,6.98571433376e+17,5.46293269267e+18,-8.51746417011e+18
2.54210359038e+29,0.0,-134401.463381,74685.4715197,123933.220613,5.52796273243e+17,5.60011769453e+18,-8.47947733858e+18
2.09351489379e+29,0.0,-135290.731475,75014.1613381,123622.969253,7.21378818253e+17,5.58692113425e+18,-8.51566573324e+18
1.75555572558e+30,0.0,-134948.004817,75462.5592663,123773.65916,6.94858220988e+17,5.48350444644e+18,-8.65745209895e+18
2.41434528495e+29,0.0,-135120.570275,75142.8853555,124205.420039,6.38773391043e+17,5.50278664939e+18,-8.51958448913e+18
4.75197776976e+29,0.0,-135309.054147,75459.9211728,123874.616591,7.60268509424e+17,5.53993486178e+18,-8.59111855886e+18
2.99971073214e+29,0.0,-135169.741184,75187.1485604,123643.526343,7.28483235843e+17,5.55518284564e+18,-8.55445805304e+18
2.20094255565e+29,0.0,-134409.051631,75120.8990874,124316.620979,5.77199344623e+17,5.55033007909e+18,-8.6067054727e+18
3.50050642071e+29,0.0,-134810.210559,75141.5960318,124026.739392,6.59378937845e+17,5.50581125178e+18,-8.5033747654e+18
9.88922122304e+29,0.0,-135533.656054,75314.2869691,124049.725172,7.70606656988e+17,5.48829285325e+18,-8.57320541476e+18
2.12105368093e+29,0.0,-135107.716308,75157.1500943,124180.429381,5.67351995904e+17,5.58042960915e+18,-8.47896306674e+18
1.50275297432e+30,0.0,-135295.848771,75069.9709416,123681.411611,6.751717553e+17,5.62552092856e+18,-8.5306092609e+18
3.37368227929e+30,0.0,-134835.510896,75106.5606868,124093.57997,6.68294188578e+17,5.59514816054e+18,-8.60866563614e+18
3.66830568601e+29,0.0,-134964.647725,75235.8235833,124053.223797,6.41494425854e+17,5.48999798628e+18,-8.53134347661e+18
