#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),(3.08567758128e+19 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,kpc,kpc,kpc,kms,kms,kms
1.0,0.152496593548,-0.00370134508097,0.0612545797137,7.99319124312,168.39964666,169.051589867
1.0,-0.070631695107,0.0292709708743,-0.0382222964139,-7.2001356643,-55.2992695754,3.21059567568
1.0,-0.48876090436,0.606386490255,0.375836123678,-101.401081515,-38.1769017663,29.1218872909
1.0,-0.887217640384,-0.998257496776,-0.0355147101748,48.6565726297,-154.329620997,13.122641292
1.0,-0.397346994598,0.132927918818,-0.143894794693,-15.9443273902,-99.2490915567,11.5932139189
1.0,-0.116379926657,-0.27236204507,0.1463233933,73.8099654976,-16.1668589725,-91.9635428015
1.0,-0.427256686271,-0.079691599111,-0.402642531949,24.0277165786,-68.9815711171,-38.2914879191
1.0,0.167477015728,0.139117839808,0.012037848155,33.7231795408,34.6088784746,-2.13707626707
1.0,-0.232924223417,0.197208573474,0.0196497370455,125.461290428,-119.446429745,-29.9778040715
1.0,-0.311694529918,-0.214946889633,-0.220663711033,62.9558768483,-16.8446840427,57.3746073756
1.0,-0.00802007487171,0.742087081198,0.0584685789,-80.8295400634,134.259654932,-2.72830194752
1.0,-0.240769010023,0.0259076952069,-0.454354275964,59.4779699807,-92.0511516066,101.287828984
1.0,0.332715693033,-0.0855679481352,-0.259751810511,65.4060249952,76.7344029823,91.3660508099
1.0,0.392332328462,0.677092155186,0.161896132125,-103.299883614,-31.5941316323,-42.1813377746
1.0,0.0324368896147,-0.168736924991,-0.105244444685,56.3570388465,-73.0084030406,-3.83833256269
1.0,0.383875861493,-0.304099978626,-0.0797424756108,-50.4882875604,107.581144996,6.96940436029
