#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
3.44918326183e+29 0.0 59807.5997443 108499.397039 115740.216457 7.87736328918e+17 -1.22657662508e+19 -1.04768675262e+19
2.27238127176e+29 0.0 65219.0503938 105596.349481 106606.716602 -3.82589907615e+17 -1.27199175586e+19 -1.13891189735e+19
7.32645720273e+29 0.0 61337.7125382 115328.353435 126563.671359 9.97455214859e+17 -1.0878289735e+19 -9.10243103355e+18
9.45401300985e+29 0.0 56527.7647927 123238.238777 142619.636347 2.06650349141e+18 -9.39309977497e+18 -6.87315497183e+18
9.70840011027e+29 0.0 62580.3865463 106654.631966 110958.077509 1.15816567673e+17 -1.25778798931e+19 -1.10091614939e+19
2.46283475665e+29 0.0 59377.8591849 113419.97048 121967.539582 1.04230557186e+18 -1.14400734209e+19 -9.71523490751e+18
2.35413328834e+29 0.0 63289.3794656 105890.43325 109251.269007 -3.29875449023e+16 -1.2713981031e+19 -1.11807990503e+19
4.23239992573e+29 0.0 63105.8633413 105949.965521 109738.362053 -1.3335842721e+17 -1.27412302931e+19 -1.11916880307e+19
3.39395846076e+29 0.0 62379.7204076 107769.069489 108474.19298 9.78241804114e+16 -1.25643999657e+19 -1.12234660232e+19
3.31321084181e+29 0.0 63978.1665475 107591.589492 108167.611501 -1.60218127987e+16 -1.24789082453e+19 -1.11756916515e+19
2.70378146787e+29 0.0 60948.9267335 108759.535866 117820.439189 7.50820294041e+17 -1.2007486117e+19 -1.02005508353e+19
8.20076210826e+29 0.0 56158.2807881 121244.75581 141899.788673 2.00618817234e+18 -9.73191896422e+18 -7.04351179056e+18
7.54656528679e+29 0.0 57790.2840124 111035.112118 131114.418734 1.22187032304e+18 -1.15049238502e+19 -8.79127468441e+18
2.10851544799e+29 0.0 59159.4945957 108025.488256 120603.660172 8.02352755244e+17 -1.22254525826e+19 -1.00646959501e+19
3.65724098812e+29 0.0 47187.8472965 142843.249021 159749.736993 3.40919479187e+18 -6.10758668239e+18 -3.51139824966e+18
4.30154280586e+29 0.0 62816.3884413 104377.032702 109567.894056 -1.71585945254e+17 -1.29508631241e+19 -1.12554873023e+19
2.8603178016e+29 0.0 48230.080349 139105.766073 158481.738631 3.2654606007e+18 -6.7470787337e+18 -3.83125044351e+18
8.45456046313e+29 0.0 64174.3592569 103519.557066 111441.944086 -3.34133448206e+17 -1.28331668171e+19 -1.10612362268e+19
2.64920651755e+29 0.0 61511.4296536 107624.13881 117913.669074 3.37031116683e+17 -1.22683408572e+19 -1.03317169532e+19
1.03562236239e+30 0.0 62040.6668923 111173.549769 117774.758321 7.7521589476e+17 -1.1587968215e+19 -1.00605313521e+19
1.51934904216e+30 0.0 61562.2859374 105932.930598 113800.785563 2.46690654325e+17 -1.26224973943e+19 -1.07803393564e+19
5.29268145703e+29 0.0 60656.9983955 105215.779735 121531.282862 4.27242963689e+17 -1.24955364616e+19 -1.00470604698e+19
3.0375953788e+29 0.0 53417.3134463 135722.28194 153404.182477 2.81143296337e+18 -7.25105950748e+18 -4.90136240209e+18
2.04007063092e+29 0.0 66000.7150912 106209.791776 110716.84107 -5.43970541012e+17 -1.24532306241e+19 -1.10296843172e+19
6.09225024804e+29 0.0 50143.5467785 139423.359049 158292.191144 3.12763680402e+18 -6.64538993266e+18 -3.9049223787e+18
3.13013420116e+29 0.0 61517.2331714 106024.67061 117968.894939 2.87960305503e+17 -1.2464214345e+19 -1.0387622891e+19
5.24497918538e+29 0.0 61347.6535083 109231.756748 111471.827419 4.21022158131e+17 -1.23238490128e+19 -1.08908953958e+19
3.21142776706e+29 0.0 54556.0868335 114442.474199 137676.01424 1.87789758773e+18 -1.09373617779e+19 -7.86190037413e+18
2.3445835246e+29 0.0 62582.9055157 107778.824987 108009.27636 1.609480355e+17 -1.25384277239e+19 -1.12301210472e+19
3.63127820701e+29 0.0 60700.0407399 112071.077413 116271.657786 6.92696551359e+17 -1.17661233202e+19 -1.03372394245e+19
2.79860332722e+29 0.0 61795.287143 107222.689309 113959.633216 4.17977875277e+17 -1.23584546529e+19 -1.06737251947e+19
2.37557378105e+29 0.0 61813.4993315 105319.473732 113666.734494 2.08383121695e+17 -1.26904068056e+19 -1.08052479414e+19
5.26578760296e+29 0.0 58674.1697586 107627.982535 122516.553402 8.5192584526e+17 -1.22366382718e+19 -9.88575288515e+18
