#mass radius vx vy vz x y z
#kg m m * s**-1 m * s**-1 m * s**-1 m m m
1.98892e+30 0.0 61694.7617923 108312.599762 118101.038404 4.10848383998e+17 -1.21376001737e+19 -1.0287493619e+19
1.98892e+30 0.0 -66148.2018654 -69317.1494446 -73047.5128364 -1.53047878855e+19 -1.41176650222e+19 9.16965763188e+18
1.98892e+30 0.0 -120118.888212 -7597.07607084 67894.3194424 -8.53617639563e+18 2.00488639676e+19 9.10672800123e+18
1.98892e+30 0.0 21003.1286866 -178707.389335 7077.55857512 -2.95643220674e+19 -2.09701121438e+19 -1.58835757182e+18
